classification,avg_profit,win_rate,avg_leverage,avg_risk_adj,aggression
extreme fear,34.53786207897196,0.370607476635514,1.0,0.004281159868562313,1675.893318903574
extreme greed,67.89286133909282,0.46494298859771954,1.0,0.03982490825030895,8832.415746101064
fear,54.2903996254993,0.42076750165758364,1.0,0.01526984783533264,2992.6418453784486
greed,42.74355948851957,0.38482794266743536,1.0,0.01938135480250938,4715.327755589576
neutral,34.30771839807886,0.3969909250119408,1.0,0.01011124231904213,4383.368713675988
