Sentiment,Avg_Profit,Total_Profit,Avg_Leverage,Avg_Volume,Avg_Risk
extreme fear,34.53786207897196,739110.24849,1.0,5349.731778043301,5349.731778043301
extreme greed,67.89286133909282,2715171.310673,1.0,3112.2515314981374,3112.2515314981374
fear,54.2903996254993,3357155.441642,1.0,7816.109965052701,7816.109965052701
greed,42.74355948851957,2150129.272951,1.0,5736.884385134499,5736.884385134499
neutral,34.30771839807886,1292920.67555,1.0,4782.732641732538,4782.732641732538
